"Formatted ID","Name","State","Percent Done By Story Plan Estimate","Percent Done By Story Count","Project","Owner","Lead Team","Go Live Date","Actual Start Date","Actual End Date","Planned Start Date","Planned End Date","Tags","Display Color","Dependencies","Dependencies","Risk","Risks","Risk Score","Tech Category","Status"
"ST14153","Foundational capabilities to support Install and Fulfillment","in progress","0.2518","0.3378","Quote, Install & Bill","Dave Haas","Operational","2022-12-31","2021-10-22","","2022-01-01","2022-12-31","","#107c1e","","0","","0","0","",""
"ST14154","Financials","created","0.0","0.0","Quote, Install & Bill","Dave Haas","Operational","2022-12-31","","","2022-01-01","2022-12-31","QIB;QIB Financials","#107c1e","","0","","0","0","",""
"ST14155","ACA Stepwise","in progress","0.6121","0.6359","Quote, Install & Bill","Geetha Shrinivasalu","Operational","2023-12-31","2021-08-24","","2022-01-01","2022-12-31","","#107c1e","","0","","0","0","",""
"ST14156","Commissions","in progress","0.3346","0.21","Quote, Install & Bill","Dave Haas","Operational","2022-12-31","2021-09-09","","2022-01-01","2022-12-31","QIB;QIB Commissions;noProdCapArchNeeded;noESARequired","#107c1e","","0","","0","0","",""
"ST14157","Billing","in progress","0.3143","0.4105","Quote, Install & Bill","Dave Haas","Operational","2022-12-31","2022-01-04","","2022-01-01","2022-12-31","QIB;QIB Billing","#107c1e","","0","","0","0","",""
"ST14158","EDI Expansion (Enrollment)","in progress","0.3942","0.383","Quote, Install & Bill","Vijaya Mekala","Operational","2022-12-31","2022-02-22","","2022-01-01","2022-12-31","","#107c1e","","0","","0","0","",""
"ST14159","Regulatory","created","0.99","0.9231","Quote, Install & Bill","Dave Haas","Operational","2022-09-01","2022-02-01","","2022-01-01","2022-08-31","QIB;QIB Regulatory","#107c1e","","0","","0","0","",""
"ST14160","COC","created","0.9493","0.8444","Quote, Install & Bill","Dave Haas","Operational","2022-09-01","2021-10-27","","2022-01-01","2022-08-31","","#107c1e","","0","","0","0","",""
"ST14161","Multiple Bill Groups","created","0.9293","0.9231","Quote, Install & Bill","Dave Haas","Operational","2022-09-01","2021-12-17","","2022-01-01","2022-08-31","noUspProductArchNeeded","#107c1e","","0","","0","0","",""
"ST14162","Cascading Changes","created","0.0915","0.0467","Quote, Install & Bill","Dave Haas","Operational","2022-12-31","2019-02-27","","2022-01-01","2022-01-01","noUspProductArchNeeded","#107c1e","","0","","0","0","",""
"ST14163","COB Automation","created","0.0","0.0","Quote, Install & Bill","Vijaya Mekala","Operational","2022-12-31","","","2022-01-01","2022-12-31","QIB;QIB COB","#107c1e","","0","","0","0","",""
"ST14164","[2023] Stoploss","created","0.0","0.0","Quote, Install & Bill","Dave Haas","Operational","2023-12-31","","","2023-01-01","2023-12-31","","#848689","","0","","0","0","",""
"ST14165","Funding Mechanism","created","0.9118","0.9167","Quote, Install & Bill","Dave Haas","Operational","2022-12-31","2022-03-28","","2022-01-01","2022-12-31","QIB;QIB Funding Mechanism","#107c1e","","0","","0","0","",""
"ST14166","EDI (270/271)","created","0.6737","0.6364","Quote, Install & Bill","Vijaya Mekala","Operational","2022-12-31","2022-01-21","","2022-01-01","2022-10-17","noProdCapArchNeeded;noUspProductArchNeeded","#107c1e","","0","","0","0","",""
"ST14167","PCP Selection Improvements","Complete","1.0","1.0","Quote, Install & Bill","Vijaya Mekala","Operational","2022-12-31","2021-08-10","2022-02-23","2022-01-01","2022-04-01","","#107c1e","","0","","0","0","",""
"ST14168","Cirrus Purge and Archive","created","0.5457","0.7209","Scalability","","Operational","2022-12-01","2020-08-11","","2022-01-01","2022-12-31","","#107c1e","","1","","0","0","",""
"ST14169","ID Card/Fulfillment","created","0.1918","0.2687","Quote, Install & Bill","Dave Haas","Operational","2022-12-31","2022-02-02","","2022-01-01","2022-12-31","","#107c1e","","0","","0","0","",""
"ST14170","Charge Line Code","created","0.0","0.0","Quote, Install & Bill","Dave Haas","Operational","2022-09-01","","","2022-01-01","2022-08-31","","#107c1e","","0","","0","0","",""
"ST14173","Improve Commissions","in progress","0.1594","0.2222","Broker and Employer Experience","Christopher Kraus","Constituent Experience","2022-08-31","2022-01-12","","2022-01-01","2022-09-15","","#107c1e","","0","","0","0","",""
"ST14174","Improve Renewals Experience","in progress","0.7951","0.75","Broker and Employer Experience","Christopher Kraus","Constituent Experience","2022-08-31","2021-07-29","","2022-01-01","2022-09-15","","#107c1e","","0","","0","0","",""
"ST14179","Improve Onboarding & Training","in progress","0.7208","0.5784","Broker and Employer Experience","Christopher Kraus","Constituent Experience","2022-12-15","2021-09-13","","2022-01-01","2022-12-30","","#107c1e","","0","","0","0","",""
"ST14180","Improve Login","created","0.0","0.0","Broker and Employer Experience","Christopher Kraus","Constituent Experience","2022-12-15","","","2022-01-01","2022-12-30","","#107c1e","","0","","0","0","",""
"ST14181","Improve Quoting","created","0.0","0.0","Broker and Employer Experience","Christopher Kraus","Constituent Experience","2022-12-15","","","2022-01-01","2022-12-30","","#107c1e","","0","","0","0","",""
"ST14182","Improve Member Management (Enroll, Term, Plan Changes)","in progress","0.6509","0.6028","Broker and Employer Experience","Christopher Kraus","Constituent Experience","2022-12-15","2020-08-13","","2022-01-01","2023-08-19","","#107c1e","","0","","0","0","",""
"ST14183","Improve Group Installation","in progress","1.0","0.9333","Broker and Employer Experience","Christopher Kraus","Constituent Experience","2022-06-15","2021-03-23","","2022-01-01","2022-06-30","","#107c1e","","0","","0","0","",""
"ST14184","Improve Fulfillment","in progress","0.9774","0.8263","Broker and Employer Experience","Christopher Kraus","Constituent Experience","2022-10-28","2019-09-11","","2022-01-01","2022-11-15","","#107c1e","","0","","0","0","",""
"ST14185","Improve Pay my Invoice","in progress","0.9023","0.9264","Broker and Employer Experience","Christopher Kraus","Constituent Experience","2022-10-28","2018-05-09","","2022-01-01","2022-11-15","","#107c1e","","0","","0","0","",""
"ST14186","Improve Off-Cycle Changes","created","0.0","0.0","Broker and Employer Experience","Christopher Kraus","Constituent Experience","2022-08-31","","","2022-01-01","2022-09-15","","#107c1e","","0","","0","0","",""
"ST14280","myuhc:  Provide a document so the Member can request an exception for Step Therapy coverage","Done","0.0","0.0","Member Experience","Danielle Merkes","Constituent Experience","2022-04-22","","","2022-02-28","2022-09-01","ForStatusReport;Learn About My Benefits;noUSPCoreArchNeeded;NotonDigitalRoadmap","#21a2e0","","0","","0","0","",""
"ST14281","ACET: Service all groups in the ACET desktop - address group payload size","created","0.0","0.0","Member Experience","Mike Ignacio","Constituent Experience","2022-12-31","","","2022-01-11","2022-12-31","ForStatusReport;Reconcile My Bills","#848689","","0","","0","0","",""
"ST14283","ACET: Add ability to send Provider search results from ACET desktop (text/email)","created","0.0","0.0","Member Experience","Mike Ignacio","Constituent Experience","2022-09-01","","","2022-01-01","2022-09-01","ForStatusReport;Learn About My Benefits;noProdCapArchNeeded","#107c1e","","0","","0","0","",""
"ST14285","(NLN) ACET: Provide access to scanned incoming correspondence (all constituents in ACET desktop)","Done","1.0","1.0","Member Experience","Mike Ignacio","Constituent Experience","2021-12-31","2019-07-19","","2020-01-01","2021-12-31","ForStatusReport;Learn About My Benefits;noProdCapArchNeeded","#105cab","","0","","0","0","",""
"ST14286","(NLN) ACET: Provide additional information to support questions on overage dependents","Will Not Implement","0.0","0.0","Member Experience","Mike Ignacio","Constituent Experience","2022-12-31","","","2022-01-01","2022-12-31","ForStatusReport;Pay and Finance My Care","#848689","","0","","0","0","",""
"ST14287","myuhc: Enhance Treatment Cost Estimator to account for Multiple Levels/Tiers in Cirrus Benefit Structure","created","0.0","0.0","Member Experience","Danielle Merkes","Constituent Experience","2022-12-31","","","2022-04-04","2022-12-31","ForStatusReport;Find and Price My Care","#848689","","0","","0","0","",""
"ST14288","ACET: Provide details (primary carrier’s allowed amount) to address questions when USP is not the Primary Payer","created","0.0","0.0","Member Experience","Mike Ignacio","Constituent Experience","2023-12-31","","","2022-01-11","2023-12-31","ForStatusReport;Pay and Finance My Care;noProdCapArchNeeded","#848689","","0","","0","0","",""
"ST14289","myuhc: Add ability for non-gated subscribers to view/update dependent PCP info","created","0.0","0.0","Member Experience","Danielle Merkes","Constituent Experience","2022-12-31","","","2022-04-18","2022-12-31","ForStatusReport;Learn About My Benefits;noUSPCoreArchNeeded;NotonDigitalRoadmap","#107c1e","","0","","0","0","",""
